Year,Unnamed: 1,Rank,Institution,Satisfied with Course,Satisfied with Teaching,Satisfied with Feedback,Student to Staff Ratio,Spend per Student,Average Entry Tariff,Value Added Score,Career after 15 months,Continuation,Guardian Score
2011,1,1,Oxford,92.0,91.0,72.0,10.8,10.0,531.0,6.9,80.0,98.922336101532,100.0
2011,1,2,Cambridge,92.0,91.0,72.0,11.7,9.59,546.0,5.8,78.0,98.922336101532,94.5
2011,1,3,Warwick,88.0,87.0,61.0,13.3,8.39,463.0,6.2,75.0,98.922336101532,81.4
2011,1,4,St Andrews,92.0,93.0,70.0,13.1,6.02,454.0,6.9,71.0,98.922336101532,81.3
2011,1,5,UCL,87.0,86.0,62.0,8.9,8.53,455.0,7.0,77.0,98.922336101532,79.5
2011,1,6,Lancaster,89.0,88.0,67.0,13.5,6.91,392.0,4.6,75.0,98.922336101532,76.8
2011,1,7,Imperial College,86.0,81.0,52.0,10.5,8.92,500.0,4.9,86.0,98.922336101532,76.0
2011,1,8,London School of Economics,77.0,76.0,61.0,14.0,7.54,493.0,5.7,76.0,98.922336101532,75.3
2011,1,9,Loughborough,89.0,89.0,72.0,18.5,5.38,369.0,5.7,69.0,98.922336101532,73.5
2011,1,9,York,87.0,91.0,67.0,13.8,6.83,421.0,4.8,68.0,98.922336101532,73.5
2011,1,11,SOAS,86.0,87.0,65.0,12.7,6.45,381.0,6.4,68.0,98.922336101532,73.1
2011,1,12,Leicester,92.0,90.0,71.0,14.8,5.77,374.0,5.9,70.0,98.922336101532,71.9
2011,1,13,Bath,87.0,86.0,59.0,15.9,5.2,450.0,5.8,79.0,98.922336101532,71.4
2011,1,14,Exeter,89.0,90.0,71.0,19.1,4.85,406.0,6.7,62.0,98.922336101532,71.1
2011,1,15,Edinburgh,83.0,85.0,46.0,13.4,9.28,434.0,6.2,73.0,98.922336101532,70.4
2011,1,15,Sussex,87.0,89.0,65.0,15.4,4.97,369.0,6.9,70.0,98.922336101532,70.4
2011,1,17,Durham,88.0,87.0,64.0,15.9,4.64,466.0,5.7,74.0,98.922336101532,70.1
2011,1,18,Southampton,87.0,88.0,60.0,13.5,6.4,406.0,6.4,73.0,98.922336101532,70.0
2011,1,19,UEA,90.0,92.0,69.0,15.5,6.43,363.0,6.2,67.0,98.922336101532,67.9
2011,1,20,Surrey,85.0,84.0,63.0,18.0,6.73,371.0,6.4,76.0,98.922336101532,67.7
2011,1,21,Nottingham,87.0,86.0,60.0,13.8,6.58,411.0,5.4,72.0,98.922336101532,67.3
2011,1,22,Dundee,87.0,88.0,67.0,17.4,5.9,339.0,6.2,66.0,98.922336101532,67.0
2011,1,23,Glasgow,90.0,90.0,64.0,14.2,5.79,394.0,5.4,69.0,98.922336101532,66.5
2011,1,24,City,77.0,78.0,58.0,18.2,7.13,338.0,6.5,72.0,98.922336101532,66.3
2011,1,25,King's College London,83.0,85.0,57.0,11.3,7.1,420.0,5.9,77.0,98.922336101532,65.9
2011,1,25,Strathclyde,85.0,84.0,61.0,17.6,6.12,384.0,5.7,71.0,98.922336101532,65.9
2011,1,27,Kent,86.0,86.0,68.0,14.8,5.77,319.0,4.7,65.0,98.922336101532,65.7
